Title,Link
[기자수첩] 원전 CCTV, 200만 화소는 ‘함량미달’이라니... 화소수는 본질 아냐,https://www.boannews.com/media/view.asp?idx=133651&page=4&kind=2
리얼시큐-CONECT, 베트남 기업의 안전한 비즈니스 환경 위해 맞손,https://www.boannews.com/media/view.asp?idx=133853&page=4&kind=3
파인더갭-GC녹십자, 국내 제약사 중 선도적으로 버그 바운티 상시 운영,https://www.boannews.com/media/view.asp?idx=133851&page=4&kind=3
OT 환경에서의 인증 취약점 악용 공격 급증! 그 원인과 대응전략 살펴보니,https://www.boannews.com/media/view.asp?idx=133814&page=4&kind=5
프라이빗테크놀로지, ‘하이서울기업’ 인증 획득... 혁신과 성장 인정 성과,https://www.boannews.com/media/view.asp?idx=133848&page=4&kind=3
윈도 다운그레이드를 통해 취약점을 부활시키는 공격법 공개돼,https://www.boannews.com/media/view.asp?idx=133847&page=4&kind=1
해킹 그룹 팀TNT, 도커 생태계 침해해 암호화폐 채굴,https://www.boannews.com/media/view.asp?idx=133846&page=4&kind=1
이전에 패치된 소닉월VPN의 취약점, 두 랜섬웨어 조직이 익스플로잇,https://www.boannews.com/media/view.asp?idx=133845&page=5&kind=1
러시아 재판부, 레빌 랜섬웨어 멤버 네 명에게 징역형 구형,https://www.boannews.com/media/view.asp?idx=133844&page=5&kind=1
티피링크 Omada, 초장거리 무선 커버리지 제공 듀얼밴드 천장형 AP 신제품 출시,https://www.boannews.com/media/view.asp?idx=133842&page=5&kind=3
대구 사이버보안 컨퍼런스, 참가자 2배 급증... ‘FIX 2024’ 동시개최 시너지효과 높아,https://www.boannews.com/media/view.asp?idx=133843&page=5&kind=3
아우토크립트, 북미 최초 V2X 보안 호환성 테스트 통과로 미국시장 주도권 확보,https://www.boannews.com/media/view.asp?idx=133841&page=5&kind=3
스틸리언, ‘폰투온’에서 취약점 해킹 성공,https://www.boannews.com/media/view.asp?idx=133840&page=5&kind=3
LG유플러스, 국토교통부 주관 UAM 1단계 실증사업 완료,https://www.boannews.com/media/view.asp?idx=133839&page=5&kind=3
조달청, 2024 서비스개발상품 아이디어 공모전 최초 개최,https://www.boannews.com/media/view.asp?idx=133838&page=5&kind=2
KISA, 행정안전부 주관 ‘재해경감 우수기업 인증’ 획득,https://www.boannews.com/media/view.asp?idx=133837&page=5&kind=2
슈프리마, 카카오톡 출입 QR 대체할 신규 출입인증 서비스 출시,https://www.boannews.com/media/view.asp?idx=133835&page=5&kind=3
SK쉴더스, 무인경비업계 최초 ISO 37301 획득,https://www.boannews.com/media/view.asp?idx=133833&page=5&kind=3
중앙대학교 보안대학원 ‘2025학년도 전반기 신입생 모집’,https://www.boannews.com/media/view.asp?idx=133836&page=5&kind=3
사물인터넷혁신융합대학사업단-한국인터넷정보학회, 상호 사업협력 협약체결,https://www.boannews.com/media/view.asp?idx=133834&page=5&kind=3
[Security China 2024 취재記] 중국 기업만으로 꽉 채운 전시회였지만... AI, 로봇 기술 ‘주목’,https://www.boannews.com/media/view.asp?idx=133832&page=5&kind=3
해킹그룹 어웨이큰리코, ‘메시에이전트’라는 합법 툴로 러시아 공격 감행,https://www.boannews.com/media/view.asp?idx=133830&page=5&kind=1
티머니 전산센터 시스템 27일 오후 한때 장애... 현재 복구 완료,https://www.boannews.com/media/view.asp?idx=133831&page=5&kind=1
[인터뷰] 쿼드마이너 김용호 CTO “제로트러스트 환경에서의 보안운영 자동화 필요”,https://www.boannews.com/media/view.asp?idx=133577&page=5&kind=3
[bnTV] 증권가가 주목한 이 기업, 금융기관 맞춤형 보안 서비스 제공 기업 ‘시큐센’,https://www.boannews.com/media/view.asp?idx=133713&page=5&kind=3
성균관대 이호준 교수 연구팀, ACM ‘Distinguished Paper Award’ 수상,https://www.boannews.com/media/view.asp?idx=133826&page=5&kind=5
‘건강검진 사칭’ 문자 주의보! 공식 문자에는 인터넷 주소 포함 안 돼,https://www.boannews.com/media/view.asp?idx=133829&page=5&kind=1
