Title,Link
[블랙햇 2025] “AI 중심 보안 생태계 본격화”... 사이버 보안 패러다임 전환,https://www.boannews.com/media/view.asp?idx=138631&page=4&kind=3
IPO 재개한 S2W, 전자증권 전환 개시 절차 완료,https://www.boannews.com/media/view.asp?idx=138632&page=4&kind=3
VIGI, 5배 광학 줌 지원하는 전동식 가변 초점 돔 네트워크 카메라 출시,https://www.boannews.com/media/view.asp?idx=138630&page=4&kind=3
남성 전용 데이트 정보 앱 ‘티온허’, 사용자 개인정보 무방비 노출,https://www.boannews.com/media/view.asp?idx=138629&page=4&kind=1
[인터뷰] 권윤정 시원네트웍스 대표 “보안, 단순 ‘방어’ 아닌 신뢰를 ‘디자인’ 하는 것”,https://www.boannews.com/media/view.asp?idx=138610&page=4&kind=3
[블랙햇 2025] “AI 어시스턴트가 악성 에이전트로”…제니티, 주요 기업 AI 보안 취약점 대거 공개,https://www.boannews.com/media/view.asp?idx=138626&page=4&kind=1
[블랙햇 2025] AI부터 스마트팜까지... 차세대 사이버 위협 대응 방안 교류,https://www.boannews.com/media/view.asp?idx=138619&page=4&kind=3
[ISEC 2025 미리보기] 쿼리시스템즈, 통합형 오픈 XDR 솔루션 ‘QTIE’로 보안 자동화,https://www.boannews.com/media/view.asp?idx=138613&page=4&kind=3
[ISEC 2025 미리보기] 세이퍼존, ‘SaferZone-Edge’ 제로트러스트 보안 플랫폼 공개,https://www.boannews.com/media/view.asp?idx=138612&page=5&kind=3
NIA-인공지능안전연구소, AI 신뢰성 평가 사업 착수,https://www.boannews.com/media/view.asp?idx=138623&page=5&kind=3
[ISEC 2025 미리보기] 스플래시탑, 제로트러스트 기반 원격 접속·지원 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=138584&page=5&kind=3
"반도체 등 우선 심판"...특허심판 절차 개선,https://www.boannews.com/media/view.asp?idx=138618&page=5&kind=1
배경훈 과기정통부 장관 “민관 적극 협력해 AI로 보이스피싱 근절”,https://www.boannews.com/media/view.asp?idx=138617&page=5&kind=2
[카드뉴스] 실전급 위협 전세계 ‘드론 경보’ 확산…공항·도심 잇단 사건들, 안티드론 대응,https://www.boannews.com/media/view.asp?idx=138616&page=5&kind=1
SK쉴더스, 구독형 보안 서비스 ‘사이버가드’로 의료기관 지원,https://www.boannews.com/media/view.asp?idx=138615&page=5&kind=3
지니언스, 한국거래소 ‘코스닥 라이징스타’ 3년 연속 선정...글로벌 성장성 입증,https://www.boannews.com/media/view.asp?idx=138614&page=5&kind=3
[ISEC 2025 미리보기] 마이크로소프트, AI 시대의 보안으로 AI 혁신 가속화,https://www.boannews.com/media/view.asp?idx=138578&page=5&kind=3
[ISEC 2025 미리보기] 위즈코리아, AI 기반 종합 정보 보호 플랫폼 소개,https://www.boannews.com/media/view.asp?idx=138577&page=5&kind=3
[ISEC 2025 미리보기] 시큐어레터, Wi-Fi 6E/7 보안 대책은 ‘DeepTrust AIR’,https://www.boannews.com/media/view.asp?idx=138575&page=5&kind=3
[블랙햇 2025] 세계 최대 규모 보안 컨퍼런스 개막... 사이버 위협 조직화 집중 조명,https://www.boannews.com/media/view.asp?idx=138600&page=5&kind=4
[사람과 보안] AI 국가대표의 화려한 출범, ‘보안 대표팀’은 어디 있나요?,https://www.boannews.com/media/view.asp?idx=138601&page=5&kind=2
“수화기 넘어 그놈 목소리”... 시스코, 보이스피싱에 속아 고객정보 유출,https://www.boannews.com/media/view.asp?idx=138604&page=5&kind=1
국정원·특허청, PQC 특허 대응 맞손...전략회의 공동 개최,https://www.boannews.com/media/view.asp?idx=138609&page=5&kind=1
서울시-KIST, 양자기술 인재 양성...‘2025 서울퀀텀캠퍼스 산업전문과정’ 개강,https://www.boannews.com/media/view.asp?idx=138608&page=5&kind=2
차의과학대-샌즈랩, AI 기반 차세대 의료·헬스케어 보안 기술 공동 개발,https://www.boannews.com/media/view.asp?idx=138607&page=5&kind=3
수산아이앤티, 과기정통부 ‘정보보호 전문서비스 기업’ 지정…보안 컨설팅 사업 확장,https://www.boannews.com/media/view.asp?idx=138605&page=5&kind=3
전기차 배터리 관리·진료 후 실손 청구...블록체인 일상에 확산,https://www.boannews.com/media/view.asp?idx=138606&page=5&kind=2
[인사] 한국인터넷진흥원(KISA),https://www.boannews.com/media/view.asp?idx=138603&page=5&kind=2
