Title,Link
해킹 대처도 男女 달라...KAIST, 성별 따른 디지털 격차 규명,https://www.boannews.com/media/view.asp?idx=137567&page=4&kind=5
KISA, ‘핵더챌린지 버그바운티 시즌1’ 참가자 모집,https://www.boannews.com/media/view.asp?idx=137566&page=4&kind=2
[부고] 임창균 한국인터넷정보학회 부회장 부친상,https://www.boannews.com/media/view.asp?idx=137568&page=4&kind=1
삼성, 스마트폰 보안 강화...‘One UI 7’ 업데이트,https://www.boannews.com/media/view.asp?idx=137565&page=5&kind=3
[2025 개인정보보호 우수사례-2] 한국가스공사, 2000만 천연가스 공급 세대 위한 개인정보보호 날갯짓,https://www.boannews.com/media/view.asp?idx=137553&page=5&kind=2
[이슈칼럼] ISO 인증을 통한 개인정보보호 강화방안,https://www.boannews.com/media/view.asp?idx=137503&page=5&kind=6
[배종찬의 보안 빅데이터] 이재명 정부의 ‘AI 강국’ 달성 위한 사이버 보안,https://www.boannews.com/media/view.asp?idx=137564&page=5&kind=2
북한 인터넷 대규모 접속 장애…“사이버 공격보다는 내부 문제”,https://www.boannews.com/media/view.asp?idx=137562&page=5&kind=1
중국 양자 통신 위성 ‘모쯔’ 해킹 가능성 제기,https://www.boannews.com/media/view.asp?idx=137560&page=5&kind=4
한국연구재단 논문투고 시스템 ‘잼스’ 해킹 시도,https://www.boannews.com/media/view.asp?idx=137559&page=5&kind=1
[2025 개인정보보호 우수사례-1] 강원랜드, 카지노·리조트·레저 고객 민감정보 1200만건 촘촘한 보호,https://www.boannews.com/media/view.asp?idx=137552&page=5&kind=2
[이슈칼럼] AI 기반 지능형 CCTV! 이제 안전한 영상정보 관리체계는 선택 아닌 필수,https://www.boannews.com/media/view.asp?idx=137501&page=5&kind=2
모바일 쿠폰 앱 일상카페 해킹...고객정보 16종 유출,https://www.boannews.com/media/view.asp?idx=137558&page=5&kind=1
갈라선 트럼프-머스크, “우주 사업 정부 계약 취소” vs “내가 먼저 절수”,https://www.boannews.com/media/view.asp?idx=137557&page=5&kind=2
서울시, 사이버보안 조례 제정...사이버 위협 대응 강화,https://www.boannews.com/media/view.asp?idx=137556&page=5&kind=2
오마다, 2.5G 멀티기가·10G 업링크 지원 스위치로 중소형 네트워크 시장 공략,https://www.boannews.com/media/view.asp?idx=137549&page=5&kind=3
미국 이통사 AT&T 고객정보 8600만건 온라인 공개...사회보장번호 고스란히,https://www.boannews.com/media/view.asp?idx=137550&page=5&kind=1
대선 끝...국정원 사이버위기 경보 단계 ‘주의’ → ‘관심’ 하향 조정,https://www.boannews.com/media/view.asp?idx=137555&page=5&kind=2
[사람과 보안] 기업 해킹은 시작일 뿐, 이제는 사이버전쟁이다,https://www.boannews.com/media/view.asp?idx=137547&page=5&kind=1
카스퍼스키 “넷플릭스 등 스트리밍 계정 700만개 침해”,https://www.boannews.com/media/view.asp?idx=137551&page=5&kind=1
티피링크, 와이파이 7 메시 공유기 ‘Deco BE25’ 출시,https://www.boannews.com/media/view.asp?idx=137548&page=5&kind=3
“지능화·무인화, 제조 패러다임 대전환”… ‘자율제조 월드쇼’ 5일 개막,https://www.boannews.com/media/view.asp?idx=137546&page=5&kind=3
IT 직원 사칭해 가짜 세일즈포스 앱 설치 유도...데이터 탈취,https://www.boannews.com/media/view.asp?idx=137544&page=5&kind=1
