Title,Link
고품질 공공데이터 인증으로 신뢰할 수 있는 공공데이터 활용 기반 구축,https://www.boannews.com/media/view.asp?idx=134710&page=4&kind=2
국표원, AI 경영시스템 KS 제정 예고,https://www.boannews.com/media/view.asp?idx=134711&page=4&kind=2
경찰청 국가수사본부, 디도스 공격 기능 탑재한 위성방송 수신기 제조 관계자 검거,https://www.boannews.com/media/view.asp?idx=134736&page=4&kind=2
하이크비전, 광주첨단국가산단 경영자협의회와 항저우 본사 찾아 AIoT 기술 체험,https://www.boannews.com/media/view.asp?idx=134735&page=4&kind=3
프로젝트센드에서 발견된 취약점, 최근 악성 공격의 통로가 돼,https://www.boannews.com/media/view.asp?idx=134733&page=4&kind=1
러시아의 해킹 단체, 파이어폭스와 윈도의 제로데이 통해 멀웨어 유포,https://www.boannews.com/media/view.asp?idx=134732&page=4&kind=1
인기 높은 게임 엔진인 고도, 멀웨어 유포 캠페인에 악용돼,https://www.boannews.com/media/view.asp?idx=134731&page=4&kind=1
최초의 리눅스용 UEFI 붓키트인 ‘붓키티’ 발견돼,https://www.boannews.com/media/view.asp?idx=134730&page=4&kind=1
식약처, 의료기기 사이버보안 허가·심사 기준 개정,https://www.boannews.com/media/view.asp?idx=134712&page=4&kind=2
교육부, 첨단산업 인재 양성 부트캠프 참여 학생들의 취업 지원 나선다,https://www.boannews.com/media/view.asp?idx=134714&page=4&kind=2
국산 AI-반도체 혁신을 넘어 세계로!,https://www.boannews.com/media/view.asp?idx=134713&page=4&kind=2
LG전자, 자체 개발 車반도체 국제 안전표준 인증,https://www.boannews.com/media/view.asp?idx=134715&page=5&kind=3
LG CNS, 차세대 DX 분야 청년인재 양성 나선다,https://www.boannews.com/media/view.asp?idx=134716&page=5&kind=2
성남시, 시스템반도체 인재 양성 사업 지방자치 우수 사례 선정,https://www.boannews.com/media/view.asp?idx=134717&page=5&kind=2
광주시, 인공지능전시회 ‘AI TECH+’ 개최,https://www.boannews.com/media/view.asp?idx=134718&page=5&kind=2
단국대 산학협력단, 미래차 디지털 포렌식 인재 양성 다자간 협약,https://www.boannews.com/media/view.asp?idx=134719&page=5&kind=2
KISIA, 린벤처스와 사이버 보안 펀드 연계 정보보호 산업 Closed IR 피칭 행사 개최,https://www.boannews.com/media/view.asp?idx=134729&page=5&kind=3
생성형 AI가 촉발한 사이버 위협 확산, 어떻게 대응해야 할까,https://www.boannews.com/media/view.asp?idx=134723&page=5&kind=2
라온시큐어 박종원 전략기획본부장, ‘블록체인 유공’ 과기정통부 장관 표창,https://www.boannews.com/media/view.asp?idx=134727&page=5&kind=3
슈프리마, 14년 연속 ‘글로벌 Top 50 보안 기업’ 선정,https://www.boannews.com/media/view.asp?idx=134726&page=5&kind=3
스냅태그, ‘2024 정보보호제품 혁신대상’에서 과기정통부 장관상 수상,https://www.boannews.com/media/view.asp?idx=134725&page=5&kind=3
‘수신 메일을 보류 중입니다’ 업무 시스템 사칭한 피싱 공격 주의보,https://www.boannews.com/media/view.asp?idx=134703&page=5&kind=1
연말연시, 콘서트 티켓 양도한다며 입금 요구... 티켓 사기 기승!,https://www.boannews.com/media/view.asp?idx=134704&page=5&kind=1
2024년 빛낸 K-보안 기업과 전문가는? 정보보호대상 및 혁신·R&D 대상의 주인공들,https://www.boannews.com/media/view.asp?idx=134695&page=5&kind=2
아울시스템즈, 4차산업경영 부문 과기정통부 장관상 수상,https://www.boannews.com/media/view.asp?idx=134702&page=5&kind=3
에스알, 제23회 정보보호 대상 과기정통부 장관상 수상,https://www.boannews.com/media/view.asp?idx=134701&page=5&kind=2
이스트소프트, AI 검색 엔진 서비스 12월 출시 예고... 티저 영상 공개,https://www.boannews.com/media/view.asp?idx=134699&page=5&kind=3
한국건설경영협회, 건설기술연구 우수사례 시상식 개최,https://www.boannews.com/media/view.asp?idx=134700&page=5&kind=3
한국마이크로소프트, AI Transformation Week 개최,https://www.boannews.com/media/view.asp?idx=134698&page=5&kind=3
개인정보보호법학회, ‘Post-GDPR : 개인정보보호 규범의 새로운 지평’ 세미나 개최,https://www.boannews.com/media/view.asp?idx=134697&page=5&kind=2
[기획특집] 영상보안 기업, 공공조달 시장에서 어떤 활약 펼쳤나,https://www.boannews.com/media/view.asp?idx=134684&page=5&kind=2
