Title,Link
내 삶을 편리하게 바꿀 공간정보기술, ‘2024 K-GEO Festa’에서 체험하세요,https://www.boannews.com/media/view.asp?idx=134093&page=4&kind=2
국토부, 2024년 제3호 스마트물류센터 2개소 신규 인증,https://www.boannews.com/media/view.asp?idx=134092&page=4&kind=2
“AI G3 도약 위해 정부·민간 원팀 돼야”,https://www.boannews.com/media/view.asp?idx=134091&page=4&kind=2
SKT, 글로벌향 AI 에이전트 ‘에스터’ 공개,https://www.boannews.com/media/view.asp?idx=134090&page=4&kind=3
SKT, ‘대한민국 안전대상’ 국무총리상 수상,https://www.boannews.com/media/view.asp?idx=134089&page=4&kind=3
지니언스의 지니안 낙에서 정보 유노출 취약점 발견... 지난 4월 이미 보안패치 배포 완료,https://www.boannews.com/media/view.asp?idx=134115&page=4&kind=1
LG 마그나 이파워트레인, ‘대한민국 안전대상’ 대통령상 수상,https://www.boannews.com/media/view.asp?idx=134088&page=4&kind=3
삼성전자, ‘삼성 AI 포럼 2024’ 개최,https://www.boannews.com/media/view.asp?idx=134087&page=4&kind=3
방통심의위·대전시교육청, 딥페이크 성범죄 공동 대응한다,https://www.boannews.com/media/view.asp?idx=134086&page=4&kind=2
캐나다 법무부, 스노우플레이크 해킹 배후 알렉산더 ‘코너’ 무카 체포,https://www.boannews.com/media/view.asp?idx=134112&page=5&kind=1
ETRI, 창업기업과 네트워킹으로 창업 촉진한다,https://www.boannews.com/media/view.asp?idx=134085&page=5&kind=2
GICON, 호남정보보호지원센터·전남대와 함께 ‘호남지역 정보보호 해커톤대회’ 개최,https://www.boannews.com/media/view.asp?idx=134084&page=5&kind=2
정부, ‘딥페이크 성범죄 대응 강화방안’ 발표...‘허위 영상물’ 처벌 강화,https://www.boannews.com/media/view.asp?idx=134110&page=5&kind=2
국방 ICT 표준화·시험인증 협력을 위한 전략적 파트너십 체결,https://www.boannews.com/media/view.asp?idx=134113&page=5&kind=2
[긴급] 러·우 전쟁에 해킹그룹 공격 증가... 보안권고 3가지,https://www.boannews.com/media/view.asp?idx=134109&page=5&kind=1
다후아테크놀로지, 다수의 국제 보안 인증 획득으로 글로벌 신뢰도 강화,https://www.boannews.com/media/view.asp?idx=134108&page=5&kind=3
산업부, AI을 활용한 산업·에너지 기술개발 본격 추진,https://www.boannews.com/media/view.asp?idx=134094&page=5&kind=2
