Title,Link
인터엠, 2024회계연도 매출 603억원, 전년비 18.4%↑,https://www.boannews.com/media/view.asp?idx=134405&page=5&kind=3
인류를 위한 인공지능 거버넌스, 어떤 제안 담겼나,https://www.boannews.com/media/view.asp?idx=133282&page=5&kind=4
사이테크놀로지스, CES 2025 혁신상 수상하며 글로벌 비즈니스 본격화,https://www.boannews.com/media/view.asp?idx=134404&page=5&kind=3
[정보세계정치학회 칼럼] 뉴스페이스 시대의 우주 데이터와 안보, 그리고 한국의 과제,https://www.boannews.com/media/view.asp?idx=134390&page=5&kind=6
팔로알토네트웍스의 팬OS에서 발견된 제로데이 취약점, 아직 패치 안 돼,https://www.boannews.com/media/view.asp?idx=134400&page=5&kind=1
조달청, 2024년 정보통신기술 서비스 분야 기업 건의사항 개선,https://www.boannews.com/media/view.asp?idx=134402&page=5&kind=2
경찰청, 불법사금융 단속강화 특별 지시... 내년 10월까지 특별단속 연장,https://www.boannews.com/media/view.asp?idx=134396&page=5&kind=2
SKT, AI 스팸 탐지·대응 기술로 ‘CES 2025 최고 혁신상’ 수상,https://www.boannews.com/media/view.asp?idx=134395&page=5&kind=3
KISA, 사이버보안 인재 양성 프로젝트 연계 통합 해커톤 개최,https://www.boannews.com/media/view.asp?idx=134394&page=5&kind=2
국정원·우주항공청, ‘위성활용콘퍼런스 2024’ 공동 개최,https://www.boannews.com/media/view.asp?idx=134393&page=5&kind=2
KISIA, 과기정통부와 함께 해외 인력양성 2기 수료식 개최,https://www.boannews.com/media/view.asp?idx=134392&page=5&kind=2
피싱 공격자들 사이에서 다시 유행하고 있는 SVG 파일 활용,https://www.boannews.com/media/view.asp?idx=134399&page=5&kind=1
바이든 행정부, 최후의 보안 가이드라인에서 인공지능 다뤄,https://www.boannews.com/media/view.asp?idx=134398&page=5&kind=1
사람에게 죽으라고 제안하는 구글의 인공지능, 제미나이,https://www.boannews.com/media/view.asp?idx=134397&page=5&kind=1
플랜티넷, 3분기 영업익 전년비 13.5% 증가... 핵심 사업 집중해 수익성 개선,https://www.boannews.com/media/view.asp?idx=134389&page=5&kind=3
러-우 전쟁 격화 속 전 세계 사이버전도 치열... 독일·미국 타깃 러시아·중국 해커 공격,https://www.boannews.com/media/view.asp?idx=134388&page=5&kind=1
