Title,Link
[유경동의 IP전략] 대통령의 펜,https://www.boannews.com/media/view.asp?idx=139455&page=4&kind=1
샌즈랩, ‘직무발명보상 우수기업’ 인증 취득,https://www.boannews.com/media/view.asp?idx=139453&page=4&kind=3
한국공항보안, 국가재난안전교육원과 업무협약 체결,https://www.boannews.com/media/view.asp?idx=139452&page=5&kind=3
KITRI, 차세대 보안 인재 양성 프로그램...화이트햇 스쿨 3기 졸업식 진행,https://www.boannews.com/media/view.asp?idx=139450&page=5&kind=2
국방AI 응용을 위한 시스템엔지니어링 활용 전략 대토론회 성황리에 개최,https://www.boannews.com/media/view.asp?idx=139451&page=5&kind=3
스마트 치안 드론, AI 성능 높이기 맞손,https://www.boannews.com/media/view.asp?idx=139449&page=5&kind=2
쿠도커뮤니케이션, 세종시 도시통합정보센터에 영상정보디스플레이 구축,https://www.boannews.com/media/view.asp?idx=139431&page=5&kind=3
“민간 기업 해킹에도 국정원 역량 활용해라”...과방위 의원들 지적,https://www.boannews.com/media/view.asp?idx=139448&page=5&kind=1
[카드뉴스] 미국 세인트폴, 랜섬웨어 공격에 국가 비상사태 선포…도시 전산망 마비 충격,https://www.boannews.com/media/view.asp?idx=139447&page=5&kind=1
김영섭 KT 대표 “정보유출 2만명 위약금 면제 적극 검토”,https://www.boannews.com/media/view.asp?idx=139445&page=5&kind=1
서울시 사이버보안관리관 신설...사이버보안 조례 29일 시행,https://www.boannews.com/media/view.asp?idx=139446&page=5&kind=2
DJI, 핸즈프리 웨어러블 Osmo Nano 카메라 출시,https://www.boannews.com/media/view.asp?idx=139432&page=5&kind=3
여권정보를 이용한 신분 확인, 이제는 스마트폰으로,https://www.boannews.com/media/view.asp?idx=139440&page=5&kind=2
인텔리빅스, ‘The NEXT AI’서 국산 NPU 기반 산불조기경보시스템 공개,https://www.boannews.com/media/view.asp?idx=139444&page=5&kind=3
홍천 주택 상습 침입, VIGI CCTV 경보와 영상으로 끝내 막았다,https://www.boannews.com/media/view.asp?idx=139443&page=5&kind=3
김영섭 KT 대표 “서버 폐기 반성”...과기정통부, 소액결제와 서버 해킹 관련성 조사,https://www.boannews.com/media/view.asp?idx=139442&page=5&kind=1
[IP 포토] “퀀텀 IP 경쟁력 확보하라”,https://www.boannews.com/media/view.asp?idx=139441&page=5&kind=1
류제명 차관 “소액결제 2차인증 방안 강구할 것”...비인가 펨토셀 차단 강조,https://www.boannews.com/media/view.asp?idx=139439&page=5&kind=1
네이버 카페 중고거래 안전하게...거래 수수료도 카페와 나눠,https://www.boannews.com/media/view.asp?idx=139438&page=5&kind=3
한미 양자 기술 협력 확대...배경훈 장관, IBM 왓슨 연구소 등 방문,https://www.boannews.com/media/view.asp?idx=139434&page=5&kind=2
펜타시큐리티, AI 자동 비식별화 SaaS ‘클라우드브릭 마스크’ 출시,https://www.boannews.com/media/view.asp?idx=139436&page=5&kind=3
SGA솔루션즈, ‘국가·공공기관 대상 N²SF 실증사업’ 주관사 선정,https://www.boannews.com/media/view.asp?idx=139433&page=5&kind=2
